   Elapsed time	   MLII	     V5
      (seconds)	   (mV)	   (mV)
        300.000	 -0.320	 -0.215
        300.003	 -0.325	 -0.215
        300.006	 -0.320	 -0.215
        300.008	 -0.325	 -0.235
        300.011	 -0.340	 -0.240
        300.014	 -0.365	 -0.240
        300.017	 -0.360	 -0.230
        300.019	 -0.350	 -0.225
        300.022	 -0.345	 -0.235
        300.025	 -0.375	 -0.235
        300.028	 -0.380	 -0.245
        300.031	 -0.390	 -0.250
        300.033	 -0.380	 -0.240
        300.036	 -0.380	 -0.230
        300.039	 -0.375	 -0.240
        300.042	 -0.385	 -0.235
        300.044	 -0.370	 -0.250
        300.047	 -0.395	 -0.255
        300.050	 -0.385	 -0.235
        300.053	 -0.385	 -0.230
        300.056	 -0.370	 -0.230
        300.058	 -0.375	 -0.235
        300.061	 -0.385	 -0.250
        300.064	 -0.395	 -0.255
        300.067	 -0.380	 -0.240
        300.069	 -0.385	 -0.235
        300.072	 -0.390	 -0.250
        300.075	 -0.390	 -0.260
        300.078	 -0.400	 -0.280
        300.081	 -0.430	 -0.290
        300.083	 -0.450	 -0.290
        300.086	 -0.470	 -0.285
        300.089	 -0.465	 -0.290
        300.092	 -0.480	 -0.295
        300.094	 -0.505	 -0.290
        300.097	 -0.540	 -0.245
        300.100	 -0.570	 -0.175
        300.103	 -0.525	 -0.100
        300.106	 -0.415	 -0.040
        300.108	 -0.305	  0.000
        300.111	 -0.160	  0.050
        300.114	  0.005	  0.095
        300.117	  0.255	  0.150
        300.119	  0.515	  0.195
        300.122	  0.700	  0.155
        300.125	  0.795	  0.040
        300.128	  0.755	 -0.110
        300.131	  0.535	 -0.235
        300.133	  0.200	 -0.275
        300.136	 -0.135	 -0.275
        300.139	 -0.350	 -0.280
        300.142	 -0.470	 -0.270
        300.144	 -0.505	 -0.280
        300.147	 -0.500	 -0.275
        300.150	 -0.455	 -0.270
        300.153	 -0.425	 -0.255
        300.156	 -0.415	 -0.265
        300.158	 -0.410	 -0.275
        300.161	 -0.415	 -0.275
        300.164	 -0.415	 -0.280
        300.167	 -0.405	 -0.280
        300.169	 -0.405	 -0.265
        300.172	 -0.395	 -0.280
        300.175	 -0.405	 -0.285
        300.178	 -0.425	 -0.295
